Dates,WVHT,APD,MWD
2021-04-06 00:40:00,0.65,5.11,176.0
2021-04-06 01:40:00,0.63,5.0,179.0
2021-04-06 02:40:00,0.63,4.89,181.0
2021-04-06 03:40:00,0.67,4.77,180.0
2021-04-06 04:40:00,0.64,4.52,186.0
2021-04-06 05:40:00,0.64,4.4,186.0
2021-04-06 06:40:00,0.66,4.47,185.0
2021-04-06 07:40:00,0.65,4.54,185.0
2021-04-06 08:40:00,0.64,4.65,184.0
2021-04-06 09:40:00,0.6,4.55,179.0
2021-04-06 10:40:00,0.61,4.76,181.0
2021-04-06 11:40:00,0.61,4.56,183.0
2021-04-06 12:40:00,0.6,4.76,189.0
2021-04-06 13:40:00,0.57,4.72,178.0
2021-04-06 14:40:00,0.61,4.94,187.0
2021-04-06 15:40:00,0.56,4.92,189.0
2021-04-06 16:40:00,0.58,5.02,178.0
2021-04-06 17:40:00,0.56,4.88,177.0
2021-04-06 18:40:00,0.58,4.87,185.0
2021-04-06 19:40:00,0.54,4.65,185.0
2021-04-06 20:40:00,0.5,4.41,193.0
2021-04-06 21:40:00,0.54,4.2,185.0
2021-04-06 22:40:00,0.56,3.89,195.0
2021-04-06 23:40:00,0.58,4.02,183.0
2021-04-07 00:40:00,0.59,3.99,175.0
2021-04-07 01:40:00,0.55,4.02,182.0
2021-04-07 02:40:00,0.56,3.79,187.0
2021-04-07 03:40:00,0.58,3.91,185.0
2021-04-07 04:40:00,0.59,3.85,157.0
2021-04-07 05:40:00,0.57,3.95,184.0
2021-04-07 06:40:00,0.55,3.99,166.0
2021-04-07 07:40:00,0.56,4.11,154.0
2021-04-07 08:40:00,0.53,4.06,173.0
2021-04-07 09:40:00,0.52,4.12,184.0
2021-04-07 10:40:00,0.57,4.23,189.0
2021-04-07 11:40:00,0.57,4.12,177.0
2021-04-07 12:40:00,0.63,4.19,173.0
2021-04-07 13:40:00,0.64,4.16,169.0
2021-04-07 14:40:00,0.65,4.26,164.0
2021-04-07 15:40:00,0.65,4.17,162.0
2021-04-07 16:40:00,0.62,4.26,188.0
2021-04-07 17:40:00,0.61,4.36,174.0
2021-04-07 18:40:00,0.62,4.62,183.0
2021-04-07 19:40:00,0.63,4.56,185.0
2021-04-07 20:40:00,0.63,4.61,194.0
2021-04-07 21:40:00,0.66,4.57,185.0
2021-04-07 22:40:00,0.72,4.25,187.0
2021-04-07 23:40:00,0.72,3.96,191.0
2021-04-08 00:40:00,0.83,4.11,186.0
2021-04-08 01:40:00,0.86,4.03,188.0
2021-04-08 02:40:00,0.92,4.05,169.0
2021-04-08 03:40:00,1.0,4.09,160.0
2021-04-08 04:40:00,1.02,4.19,164.0
2021-04-08 05:40:00,1.09,4.39,178.0
2021-04-08 06:40:00,1.04,4.52,158.0
2021-04-08 07:40:00,1.14,4.6,177.0
2021-04-08 08:40:00,1.23,4.76,168.0
2021-04-08 09:40:00,1.08,4.64,165.0
2021-04-08 10:40:00,1.12,4.68,166.0
2021-04-08 11:40:00,1.11,4.71,167.0
2021-04-08 12:40:00,1.02,4.72,168.0
2021-04-08 13:40:00,0.99,4.56,156.0
2021-04-08 14:40:00,1.08,4.47,168.0
2021-04-08 15:40:00,1.12,4.39,171.0
2021-04-08 16:40:00,1.17,4.22,189.0
2021-04-08 17:40:00,1.31,4.33,167.0
2021-04-08 18:40:00,1.15,4.46,175.0
2021-04-08 19:40:00,1.11,4.6,180.0
2021-04-08 20:40:00,1.05,4.67,174.0
2021-04-08 21:40:00,1.08,4.81,170.0
2021-04-08 22:40:00,1.03,4.72,170.0
2021-04-08 23:40:00,1.07,4.77,166.0
2021-04-09 00:40:00,1.08,5.0,172.0
2021-04-09 01:40:00,1.03,4.78,170.0
2021-04-09 02:40:00,1.07,5.1,171.0
2021-04-09 03:40:00,1.06,5.05,169.0
2021-04-09 04:40:00,1.05,5.11,162.0
2021-04-09 05:40:00,1.17,5.21,173.0
2021-04-09 06:40:00,1.0,5.05,170.0
2021-04-09 07:40:00,1.02,5.08,179.0
2021-04-09 08:40:00,0.96,5.05,174.0
2021-04-09 09:40:00,1.0,5.08,174.0
2021-04-09 10:40:00,0.92,5.01,162.0
2021-04-09 11:40:00,0.96,5.15,172.0
2021-04-09 12:40:00,0.94,5.13,170.0
2021-04-09 13:40:00,0.85,4.63,173.0
2021-04-09 14:40:00,0.89,4.74,168.0
2021-04-09 15:40:00,0.85,4.68,168.0
2021-04-09 16:40:00,1.06,4.79,162.0
2021-04-09 17:40:00,1.08,4.5,153.0
2021-04-09 18:40:00,1.02,4.48,149.0
2021-04-09 19:40:00,0.92,4.22,154.0
2021-04-09 20:40:00,0.97,4.21,151.0
2021-04-09 21:40:00,0.96,4.19,164.0
2021-04-09 22:40:00,0.99,4.12,144.0
2021-04-09 23:40:00,1.06,4.21,145.0
2021-04-10 00:40:00,1.0,4.45,159.0
2021-04-10 01:40:00,1.06,4.42,164.0
2021-04-10 02:40:00,1.23,4.41,136.0
2021-04-10 03:40:00,1.46,4.56,164.0
2021-04-10 04:40:00,1.61,4.71,152.0
2021-04-10 05:40:00,1.82,4.98,152.0
2021-04-10 06:40:00,1.68,4.96,141.0
2021-04-10 07:40:00,1.7349999999999999,4.835,142.0
2021-04-10 08:40:00,1.79,4.71,143.0
2021-04-10 09:40:00,1.97,5.15,159.0
2021-04-10 10:40:00,2.15,5.11,169.0
2021-04-10 11:40:00,2.0,5.62,168.0
2021-04-10 12:40:00,1.91,4.81,164.0
2021-04-10 13:40:00,1.54,4.92,170.0
2021-04-10 14:40:00,1.69,5.53,178.0
2021-04-10 15:40:00,1.65,6.02,179.0
2021-04-10 16:40:00,1.52,6.5,179.0
2021-04-10 17:40:00,1.66,5.62,184.0
2021-04-10 18:40:00,1.61,5.53,179.0
2021-04-10 19:40:00,1.52,5.59,182.0
2021-04-10 20:40:00,1.5,5.9,181.0
2021-04-10 21:40:00,1.47,5.9,179.0
2021-04-10 22:40:00,1.55,6.03,172.0
2021-04-10 23:40:00,1.43,5.74,172.0
2021-04-11 00:40:00,1.54,5.63,174.0
2021-04-11 01:40:00,1.5,5.59,177.0
2021-04-11 02:40:00,1.37,5.52,179.0
2021-04-11 03:40:00,1.32,5.28,171.0
2021-04-11 04:40:00,1.34,5.44,175.0
2021-04-11 05:40:00,1.31,5.45,182.0
2021-04-11 06:40:00,1.24,5.57,173.0
2021-04-11 07:40:00,1.19,5.51,180.0
2021-04-11 08:40:00,1.12,5.59,178.0
2021-04-11 09:40:00,1.09,5.53,181.0
2021-04-11 10:40:00,0.99,5.31,176.0
2021-04-11 11:40:00,0.97,5.35,183.0
2021-04-11 12:40:00,1.06,5.5,188.0
2021-04-11 13:40:00,0.89,5.36,185.0
2021-04-11 14:40:00,0.82,5.28,196.0
2021-04-11 15:40:00,0.8,5.16,197.0
2021-04-11 16:40:00,0.85,5.29,194.0
2021-04-11 17:40:00,0.77,5.0,186.0
2021-04-11 18:40:00,0.8,5.55,193.0
2021-04-11 19:40:00,0.77,5.6,196.0
2021-04-11 20:40:00,0.8,5.8,176.0
2021-04-11 21:40:00,0.89,6.04,176.0
2021-04-11 22:40:00,0.86,6.03,183.0
2021-04-11 23:40:00,0.95,6.15,184.0
2021-04-12 00:40:00,0.99,6.28,175.0
2021-04-12 01:40:00,1.07,6.22,168.0
2021-04-12 02:40:00,1.15,6.13,169.0
2021-04-12 03:40:00,0.99,5.73,167.0
2021-04-12 04:40:00,1.04,5.96,164.0
